Resumo da Análise - Resultados Simulação Brasil

Média de Consumo (TWh): 1939.164448275862
CO2 evitado total (milhões ton): 8435.365350000002

Tabela final:
 Ano  Consumo Atual (TWh)  Consumo com Renováveis (TWh)  CO2 Evitado (milhões ton)
1900                  NaN                           NaN                        NaN
1901                  NaN                           NaN                        NaN
1902                  NaN                           NaN                        NaN
1903                  NaN                           NaN                        NaN
1904                  NaN                           NaN                        NaN
1905                  NaN                           NaN                        NaN
1906                  NaN                           NaN                        NaN
1907                  NaN                           NaN                        NaN
1908                  NaN                           NaN                        NaN
1909                  NaN                           NaN                        NaN
1910                  NaN                           NaN                        NaN
1911                  NaN                           NaN                        NaN
1912                  NaN                           NaN                        NaN
1913                  NaN                           NaN                        NaN
1914                  NaN                           NaN                        NaN
1915                  NaN                           NaN                        NaN
1916                  NaN                           NaN                        NaN
1917                  NaN                           NaN                        NaN
1918                  NaN                           NaN                        NaN
1919                  NaN                           NaN                        NaN
1920                  NaN                           NaN                        NaN
1921                  NaN                           NaN                        NaN
1922                  NaN                           NaN                        NaN
1923                  NaN                           NaN                        NaN
1924                  NaN                           NaN                        NaN
1925                  NaN                           NaN                        NaN
1926                  NaN                           NaN                        NaN
1927                  NaN                           NaN                        NaN
1928                  NaN                           NaN                        NaN
1929                  NaN                           NaN                        NaN
1930                  NaN                           NaN                        NaN
1931                  NaN                           NaN                        NaN
1932                  NaN                           NaN                        NaN
1933                  NaN                           NaN                        NaN
1934                  NaN                           NaN                        NaN
1935                  NaN                           NaN                        NaN
1936                  NaN                           NaN                        NaN
1937                  NaN                           NaN                        NaN
1938                  NaN                           NaN                        NaN
1939                  NaN                           NaN                        NaN
1940                  NaN                           NaN                        NaN
1941                  NaN                           NaN                        NaN
1942                  NaN                           NaN                        NaN
1943                  NaN                           NaN                        NaN
1944                  NaN                           NaN                        NaN
1945                  NaN                           NaN                        NaN
1946                  NaN                           NaN                        NaN
1947                  NaN                           NaN                        NaN
1948                  NaN                           NaN                        NaN
1949                  NaN                           NaN                        NaN
1950                  NaN                           NaN                        NaN
1951                  NaN                           NaN                        NaN
1952                  NaN                           NaN                        NaN
1953                  NaN                           NaN                        NaN
1954                  NaN                           NaN                        NaN
1955                  NaN                           NaN                        NaN
1956                  NaN                           NaN                        NaN
1957                  NaN                           NaN                        NaN
1958                  NaN                           NaN                        NaN
1959                  NaN                           NaN                        NaN
1960                  NaN                           NaN                        NaN
1961                  NaN                           NaN                        NaN
1962                  NaN                           NaN                        NaN
1963                  NaN                           NaN                        NaN
1964                  NaN                           NaN                        NaN
1965              273.870                      191.7090                  20.540250
1966              298.780                      209.1460                  22.408500
1967              309.579                      216.7053                  23.218425
1968              353.486                      247.4402                  26.511450
1969              385.812                      270.0684                  28.935900
1970              453.364                      317.3548                  34.002300
1971              505.227                      353.6589                  37.892025
1972              576.983                      403.8881                  43.273725
1973              679.622                      475.7354                  50.971650
1974              757.394                      530.1758                  56.804550
1975              799.321                      559.5247                  59.949075
1976              875.158                      612.6106                  65.636850
1977              933.365                      653.3555                  70.002375
1978             1032.268                      722.5876                  77.420100
1979             1126.455                      788.5185                  84.484125
1980             1153.122                      807.1854                  86.484150
1981             1130.038                      791.0266                  84.752850
1982             1188.162                      831.7134                  89.112150
1983             1201.787                      841.2509                  90.134025
1984             1279.698                      895.7886                  95.977350
1985             1371.653                      960.1571                 102.873975
1986             1446.851                     1012.7957                 108.513825
1987             1486.949                     1040.8643                 111.521175
1988             1532.864                     1073.0048                 114.964800
1989             1576.284                     1103.3988                 118.221300
1990             1565.992                     1096.1944                 117.449400
1991             1616.594                     1131.6158                 121.244550
1992             1639.306                     1147.5142                 122.947950
1993             1715.203                     1200.6421                 128.640225
1994             1798.857                     1259.1999                 134.914275
1995             1912.793                     1338.9551                 143.459475
1996             2025.349                     1417.7443                 151.901175
1997             2153.253                     1507.2771                 161.493975
1998             2229.139                     1560.3973                 167.185425
1999             2254.618                     1578.2326                 169.096350
2000             2356.764                     1649.7348                 176.757300
2001             2297.833                     1608.4831                 172.337475
2002             2350.130                     1645.0910                 176.259750
2003             2394.621                     1676.2347                 179.596575
2004             2511.056                     1757.7392                 188.329200
2005             2576.396                     1803.4772                 193.229700
2006             2647.395                     1853.1765                 198.554625
2007             2817.879                     1972.5153                 211.340925
2008             2939.233                     2057.4631                 220.442475
2009             2918.588                     2043.0116                 218.894100
2010             3185.037                     2229.5259                 238.877775
2011             3295.790                     2307.0530                 247.184250
2012             3392.321                     2374.6247                 254.424075
2013             3473.939                     2431.7573                 260.545425
2014             3564.418                     2495.0926                 267.331350
2015             3516.957                     2461.8699                 263.771775
2016             3432.166                     2402.5162                 257.412450
2017             3462.993                     2424.0951                 259.724475
2018             3475.968                     2433.1776                 260.697600
2019             3532.950                     2473.0650                 264.971250
2020             3394.368                     2376.0576                 254.577600
2021             3570.670                     2499.4690                 267.800250
2022             3724.870                     2607.4090                 279.365250
